[2018-08-16T17:30:47.384115-03:00] System.ERROR: Invalid argument supplied for foreach() {"Code":2,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":335} []
[2018-08-16T17:30:54.424879-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:30:54.453020-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:30:54.477449-03:00] System.ERROR: Invalid argument supplied for foreach() {"Code":2,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":336} []
[2018-08-16T17:30:59.610275-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:30:59.639440-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:31:08.571613-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:31:08.597776-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:31:13.443849-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:31:13.474215-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:31:25.911438-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:31:25.936244-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:31:48.053016-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
